Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;19434;"MMWR Recommendations and Reports";journal;"10575987, 15458601";"Centers for Disease Control and Prevention (CDC)";Yes;No;41,754;Q1;155;6;15;1652;1308;15;75,11;275,33;75,93;1;5;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2024";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
2;6200180159;"World Psychiatry";journal;"17238617";"Wiley-Blackwell";Yes;No;18,419;Q1;153;113;304;4401;4324;62;13,01;38,95;38,87;1;16;United States;Northern America;"Wiley-Blackwell";"2007-2025";"Psychiatry and Mental Health (Q1)";"Medicine"
3;71056;"MMWR Surveillance Summaries";journal;"15458636, 15460738";"Centers for Disease Control and Prevention (CDC)";Yes;No;15,326;Q1;119;9;30;297;1682;30;57,05;33,00;75,00;3;9;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"2002-2009, 2011-2024";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
4;28677;"Living Reviews in Relativity";journal;"14338351, 23673613";"Springer International Publishing AG";Yes;Yes;14,562;Q1;101;6;15;2536;780;15;55,55;422,67;16,39;0;0;Switzerland;Western Europe;"Springer International Publishing AG";"1998-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
5;17900156715;"IEEE Communications Surveys and Tutorials";journal;"1553877X";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;14,184;Q1;287;145;249;29394;13976;243;54,52;202,72;23,33;0;40;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2005-2025";"Electrical and Electronic Engineering (Q1)";"Engineering"
6;21100888816;"Signal Transduction and Targeted Therapy";journal;"20593635, 20959907";"Springer Nature";Yes;No;12,135;Q1;161;365;1269;61560;36770;806;29,10;168,66;40,08;2;203;United Kingdom;Western Europe;"Springer Nature";"2016-2025";"Cancer Research (Q1); Genetics (Q1)";"Biochemistry, Genetics and Molecular Biology"
7;21101151587;"eLight";journal;"26628643, 20971710";"Springer";Yes;Yes;11,392;Q1;32;22;54;1642;1717;52;31,89;74,64;31,09;0;1;Singapore;Asiatic Region;"Springer";"2021-2025";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
8;17900156736;"Journal of Hematology and Oncology";journal;"17568722";"BioMed Central Ltd";Yes;No;10,192;Q1;171;125;482;14265;12770;334;26,08;114,12;44,75;0;102;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2025";"Cancer Research (Q1); Hematology (Q1); Molecular Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
9;21100972445;"Nature Reviews Physics";journal;"25225820";"Springer International Publishing";Yes;No;9,803;Q1;87;112;395;7514;7599;188;13,51;67,09;22,05;1;8;United Kingdom;Western Europe;"Springer International Publishing";"2019-2025";"Physics and Astronomy (miscellaneous) (Q1)";"Physics and Astronomy"
10;21101141505;"eScience";journal;"20972431, 26671417";"KeAi Communications Co.";Yes;No;9,726;Q1;63;64;138;6145;4604;136;33,23;96,02;34,38;0;38;China;Asiatic Region;"KeAi Communications Co.";"2021-2025";"Electrochemistry (Q1); Materials Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
11;110092;"Morbidity and Mortality Weekly Report";journal;"01492195, 1545861X";"Department of Health and Human Services";Yes;No;9,559;Q1;274;235;1012;1694;12236;834;13,00;7,21;64,12;99;132;United States;Northern America;"Department of Health and Human Services";"1981-2025";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences"
